,Id,SalePrice
0,1461,132600.995268
1,1462,142706.311907
2,1463,144270.168055
3,1464,162023.102276
4,1465,187474.43921
5,1466,163875.052734
6,1467,159805.71902
7,1468,163318.476266
8,1469,165758.048206
9,1470,115141.711438
10,1471,187467.553402
11,1472,92817.5004736
12,1473,94502.4911229
13,1474,143346.206143
14,1475,145471.588591
15,1476,439566.101797
16,1477,266404.289421
17,1478,310726.214798
18,1479,306359.750201
19,1480,440103.858188
20,1481,380732.562846
21,1482,198913.432108
22,1483,178963.343344
23,1484,171181.889052
24,1485,164480.728273
25,1486,172088.319662
26,1487,380805.803158
27,1488,256541.897785
28,1489,211240.07074
29,1490,203600.633268
30,1491,174244.350553
31,1492,111982.463724
32,1493,163777.364594
33,1494,303647.407262
34,1495,284219.786061
35,1496,218276.702988
36,1497,196525.542959
37,1498,164488.664196
38,1499,162766.270775
39,1500,154049.024887
40,1501,177555.35912
41,1502,149131.543558
42,1503,292279.291534
43,1504,228242.800151
44,1505,227645.707671
45,1506,183690.396996
46,1507,194291.917153
47,1508,207181.946922
48,1509,150768.996505
49,1510,153758.164109
50,1511,144561.214848
51,1512,147754.200573
52,1513,153825.825853
53,1514,127527.064751
54,1515,188738.149714
55,1516,161298.867708
56,1517,145012.864626
57,1518,126439.269646
58,1519,204145.351014
59,1520,133761.68309
60,1521,136277.751783
61,1522,158604.849411
62,1523,111604.34913
63,1524,123026.753839
64,1525,123277.038112
65,1526,104866.102888
66,1527,101666.357562
67,1528,130889.929495
68,1529,138307.523984
69,1530,149873.39888
70,1531,99358.9833356
71,1532,87597.5835038
72,1533,132048.853758
73,1534,122064.622046
74,1535,140591.383612
75,1536,116482.458157
76,1537,96894.6541797
77,1538,171652.334368
78,1539,225188.150984
79,1540,97616.5636395
80,1541,155419.495414
81,1542,122036.52747
82,1543,190475.671053
83,1544,84634.6071335
84,1545,94212.2496464
85,1546,138653.756168
86,1547,118210.493838
87,1548,130006.184254
88,1549,101939.5267
89,1550,130652.116326
90,1551,111438.363208
91,1552,128777.59264
92,1553,133243.841014
93,1554,101527.004142
94,1555,180049.584421
95,1556,113947.212984
96,1557,116057.306879
97,1558,92000.3273339
98,1559,107782.527554
99,1560,122414.402055
100,1561,146306.272594
101,1562,120418.954899
102,1563,111128.091683
103,1564,132840.891909
104,1565,140543.859502
105,1566,224118.876206
106,1567,92821.1053929
107,1568,222295.722188
108,1569,120759.973368
109,1570,126716.3309
110,1571,108003.071889
111,1572,142675.629881
112,1573,199529.922381
113,1574,155644.497846
114,1575,189176.912137
115,1576,168977.363717
116,1577,189653.009399
117,1578,153981.506218
118,1579,145667.465031
119,1580,171698.976038
120,1581,151761.588777
121,1582,123970.798579
122,1583,312787.442219
123,1584,220270.088457
124,1585,140469.882287
125,1586,76053.3728177
126,1587,94282.5964
127,1588,132033.63871
128,1589,95460.2598937
129,1590,121712.160147
130,1591,86089.878506
131,1592,128371.485365
132,1593,121715.773605
133,1594,118027.344069
134,1595,115930.953286
135,1596,210204.81595
136,1597,168711.315393
137,1598,189061.650665
138,1599,163585.296238
139,1600,173085.0502
140,1601,69983.7356782
141,1602,119330.726063
142,1603,99805.9039151
143,1604,258583.214661
144,1605,254175.467104
145,1606,153557.671097
146,1607,175151.033883
147,1608,230406.240904
148,1609,200395.397109
149,1610,156320.332823
150,1611,155017.96887
151,1612,159427.410946
152,1613,165753.678253
153,1614,113349.985268
154,1615,69250.1228568
155,1616,69667.2328041
156,1617,83138.1556258
157,1618,121727.636966
158,1619,134696.700949
159,1620,155018.65956
160,1621,139472.037539
161,1622,128414.574381
162,1623,263983.687484
163,1624,180247.995257
164,1625,121420.758753
165,1626,164424.295453
166,1627,163083.335012
167,1628,241146.456335
168,1629,150348.633977
169,1630,347000.81723
170,1631,242577.868737
171,1632,279567.738653
172,1633,166253.701885
173,1634,152836.605754
174,1635,158453.906578
175,1636,155432.028091
176,1637,185669.076767
177,1638,185659.201487
178,1639,177459.358803
179,1640,249661.036332
180,1641,183960.085465
181,1642,222236.955656
182,1643,234372.056382
183,1644,228923.750269
184,1645,150254.20361
185,1646,152258.22632
186,1647,174866.815813
187,1648,137157.488789
188,1649,129063.756362
189,1650,109039.775242
190,1651,121285.942275
191,1652,92817.5004736
192,1653,95893.8924189
193,1654,145230.729122
194,1655,151490.140993
195,1656,144284.222624
196,1657,145230.729122
197,1658,144970.306208
198,1659,141855.628302
199,1660,143277.087193
200,1661,466037.72348
201,1662,379383.268761
202,1663,408062.508528
203,1664,442387.501956
204,1665,346401.957076
205,1666,295036.774262
206,1667,328238.614878
207,1668,298785.843649
208,1669,274226.695577
209,1670,342033.033039
210,1671,272976.674805
211,1672,419224.63875
212,1673,293889.571704
213,1674,268949.892075
214,1675,176929.979394
215,1676,178293.677769
216,1677,190033.626426
217,1678,383516.593785
218,1679,379231.399439
219,1680,339048.990981
220,1681,233846.311176
221,1682,306718.97262
222,1683,177063.2171
223,1684,167486.391905
224,1685,161861.348994
225,1686,172727.160609
226,1687,166979.555037
227,1688,162760.481838
228,1689,166200.837596
229,1690,169036.931047
230,1691,161931.248349
231,1692,235358.571343
232,1693,166253.701885
233,1694,163318.476266
234,1695,153137.168685
235,1696,246694.408477
236,1697,151692.831268
237,1698,351318.629476
238,1699,368468.252763
239,1700,229577.363274
240,1701,285096.234853
241,1702,273237.214221
242,1703,262530.867944
243,1704,270168.575257
244,1705,224569.948347
245,1706,447934.960394
246,1707,211612.505193
247,1708,213828.54062
248,1709,295968.411367
249,1710,229508.168086
250,1711,242502.971779
251,1712,292018.101507
252,1713,245272.876209
253,1714,230545.483655
254,1715,199304.290168
255,1716,200005.446256
256,1717,178110.325335
257,1718,117963.762497
258,1719,186606.137
259,1720,252979.711477
260,1721,194060.753596
261,1722,122234.165576
262,1723,152878.216768
263,1724,216291.637284
264,1725,203965.268845
265,1726,154537.489994
266,1727,161668.553131
267,1728,161199.432047
268,1729,152270.685573
269,1730,130680.505324
270,1731,127015.074417
271,1732,124254.753976
272,1733,119056.20163
273,1734,118690.118937
274,1735,117288.265015
275,1736,111516.779512
276,1737,408134.004675
277,1738,185846.49335
278,1739,307337.611465
279,1740,221386.942259
280,1741,173021.491733
281,1742,177185.956685
282,1743,167796.807768
283,1744,315131.053425
284,1745,258325.670925
285,1746,212652.815117
286,1747,172930.774537
287,1748,196420.137526
288,1749,144956.27251
289,1750,120773.814055
290,1751,195454.553722
291,1752,114607.733902
292,1753,144718.530045
293,1754,176648.702425
294,1755,177752.029737
295,1756,111486.751521
296,1757,117338.986337
297,1758,132116.511104
298,1759,162406.951344
299,1760,150747.265382
300,1761,129492.732962
301,1762,145163.576654
302,1763,171836.282655
303,1764,117939.733658
304,1765,175969.846943
305,1766,162136.396831
306,1767,188970.82056
307,1768,133729.122511
308,1769,170684.306808
309,1770,135477.590105
310,1771,115760.904348
311,1772,122737.659741
312,1773,131719.944772
313,1774,131764.819492
314,1775,130485.395451
315,1776,129498.721227
316,1777,108310.183018
317,1778,121867.347972
318,1779,109690.092498
319,1780,163764.301548
320,1781,131983.329308
321,1782,98451.5858411
322,1783,137980.440568
323,1784,90073.3909485
324,1785,116146.165814
325,1786,145153.851438
326,1787,165451.634001
327,1788,61594.430511
328,1789,115011.191509
329,1790,102776.187651
330,1791,170269.250641
331,1792,134832.09501
332,1793,146211.425612
333,1794,132651.969226
334,1795,136402.562635
335,1796,112867.610309
336,1797,118338.368999
337,1798,122077.425343
338,1799,96413.4766408
339,1800,108786.703956
340,1801,137313.469327
341,1802,138598.331655
342,1803,143625.522344
343,1804,132997.077557
344,1805,122347.206837
345,1806,109194.822576
346,1807,131120.318872
347,1808,129404.575023
348,1809,121788.177613
349,1810,124493.278265
350,1811,84817.9029143
351,1812,108456.93233
352,1813,112010.230099
353,1814,95403.6474786
354,1815,70437.9782956
355,1816,101119.865967
356,1817,119766.63055
357,1818,130417.519514
358,1819,115651.936963
359,1820,74167.0777578
360,1821,107126.465638
361,1822,154219.691661
362,1823,70982.2123413
363,1824,132634.150716
364,1825,104172.169348
365,1826,106044.247406
366,1827,107057.377048
367,1828,121371.218777
368,1829,127532.595551
369,1830,157848.907394
370,1831,156298.558096
371,1832,98534.1235325
372,1833,120347.80858
373,1834,120656.624534
374,1835,156722.388761
375,1836,122165.334423
376,1837,77331.9897753
377,1838,137411.32942
378,1839,72940.2536485
379,1840,135102.361023
380,1841,127504.898279
381,1842,101626.998557
382,1843,135777.628527
383,1844,122615.614504
384,1845,137985.836369
385,1846,159248.353099
386,1847,156487.714868
387,1848,65029.5551669
388,1849,113486.21647
389,1850,123570.287905
390,1851,122579.817134
