Id,SalePrice
1461,128743.252437
1462,145270.600523
1463,158994.891205
1464,163403.950274
1465,188815.606665
1466,149718.837381
1467,155285.267864
1468,160557.784902
1469,164692.45397
1470,111619.1107
1471,179906.070425
1472,99321.5475247
1473,98068.7866083
1474,134546.44391
1475,126464.377917
1476,453288.63404
1477,269113.034305
1478,282589.38401
1479,333047.569896
1480,431358.670738
1481,372021.129956
1482,196817.277437
1483,166072.663286
1484,165612.576583
1485,157747.352914
1486,179646.326834
1487,377798.534838
1488,269003.725223
1489,195934.073826
1490,194620.777299
1491,189252.417363
1492,113320.212787
1493,157626.445827
1494,308931.5044
1495,298725.607751
1496,200639.633325
1497,188457.250528
1498,158839.244091
1499,158839.244091
1500,146697.747302
1501,159335.663743
1502,146960.578276
1503,253922.202776
1504,236749.694439
1505,219449.147128
1506,178771.11508
1507,204881.381209
1508,209622.822044
1509,146909.991925
1510,141906.493344
1511,138527.650295
1512,162088.887838
1513,153106.279442
1514,144751.171982
1515,205859.683083
1516,155330.590491
1517,140469.414856
1518,143358.13722
1519,213426.254222
1520,127414.564892
1521,135412.641702
1522,169295.672744
1523,108738.235197
1524,124027.324515
1525,123396.599877
1526,109361.80673
1527,102908.787848
1528,127275.024071
1529,134398.067077
1530,141397.205618
1531,110357.747782
1532,92936.7448113
1533,138481.68356
1534,125637.326038
1535,143295.671185
1536,113932.894156
1537,96983.5779531
1538,191509.563001
1539,225337.719139
1540,118139.759342
1541,148299.774106
1542,137446.735795
1543,166682.113476
1544,87186.0115566
1545,101527.767959
1546,126654.837194
1547,122448.580791
1548,129784.927675
1549,102617.817963
1550,137727.400851
1551,115371.91286
1552,127915.569183
1553,143843.344721
1554,106846.6812
1555,180727.193948
1556,121060.104748
1557,105041.712084
1558,97039.2733655
1559,113230.441721
1560,130988.718218
1561,151702.555296
1562,117341.519636
1563,106573.742824
1564,131655.988865
1565,140930.329102
1566,226324.539917
1567,97262.2823049
1568,215861.136748
1569,126564.882488
1570,128126.541343
1571,117268.468035
1572,137260.205387
1573,218596.723008
1574,149123.761268
1575,190146.298965
1576,191352.741404
1577,181414.469882
1578,146555.815595
1579,145314.94036
1580,177255.954318
1581,140952.507122
1582,118152.604065
1583,328251.141995
1584,214683.745342
1585,129843.485304
1586,78540.2941303
1587,97128.2487817
1588,129935.646325
1589,100785.623405
1590,117126.075582
1591,87660.4042825
1592,122505.814433
1593,115777.303569
1594,106851.878071
1595,112308.889175
1596,207963.557956
1597,177253.587719
1598,193185.984339
1599,161519.336027
1600,182553.149273
1601,61480.5354161
1602,115299.977487
1603,100174.069829
1604,237591.548654
1605,271563.028124
1606,146490.000348
1607,196208.011066
1608,200961.925314
1609,185165.701285
1610,145879.513254
1611,142293.53004
1612,165896.480721
1613,153695.699607
1614,105729.858594
1615,81728.1982812
1616,81728.1982812
1617,93908.7611851
1618,119234.286956
1619,129753.245772
1620,148622.301144
1621,129250.344081
1622,133088.039082
1623,251572.094677
1624,184222.484271
1625,124939.539179
1626,158801.984156
1627,164327.687125
1628,275713.546077
1629,173727.746009
1630,280191.914642
1631,239342.674465
1632,259647.720446
1633,155547.017929
1634,157006.977277
1635,152761.637957
1636,140936.780533
1637,186252.065125
1638,194136.395637
1639,182818.141807
1640,246204.443647
1641,189518.278099
1642,212746.906375
1643,243330.273471
1644,235462.186037
1645,164089.183282
1646,141492.709448
1647,170268.141442
1648,133328.01205
1649,121857.490307
1650,109055.607285
1651,123338.361939
1652,99321.5475247
1653,103413.48716
1654,143662.792472
1655,145280.298705
1656,134546.44391
1657,143662.792472
1658,135729.791859
1659,125319.375035
1660,138903.351997
1661,499518.959396
1662,357309.247754
1663,416065.375317
1664,431257.484181
1665,318226.26102
1666,301770.796916
1667,337376.337654
1668,293890.185048
1669,282562.974412
1670,342959.623611
1671,240582.101464
1672,392204.448889
1673,306250.379309
1674,267965.456492
1675,161136.546673
1676,152697.695697
1677,182955.057
1678,397144.515173
1679,383301.040481
1680,331352.320281
1681,244775.39489
1682,291972.378355
1683,175483.652658
1684,170151.754523
1685,156508.259997
1686,167447.192067
1687,155547.017929
1688,174449.616906
1689,184614.862033
1690,180379.544249
1691,160194.842377
1692,261295.63473
1693,155547.017929
1694,165243.092808
1695,158887.725382
1696,269217.252813
1697,158887.725382
1698,356284.701165
1699,348341.183457
1700,213870.023166
1701,284434.165912
1702,273354.858286
1703,262215.768812
1704,261024.157737
1705,225093.082289
1706,433046.134847
1707,212619.123275
1708,200154.014665
1709,280746.124919
1710,236443.957273
1711,258089.19572
1712,297618.031463
1713,240352.773866
1714,223802.577618
1715,198832.911041
1716,180801.321754
1717,172354.416535
1718,131210.014354
1719,189625.848147
1720,262666.02808
1721,180385.221099
1722,127009.966139
1723,149012.732322
1724,217135.665975
1725,206852.914125
1726,144644.640093
1727,146072.881121
1728,172871.806412
1729,141046.499968
1730,133156.721949
1731,122045.783438
1732,124066.836883
1733,112709.213824
1734,113584.320355
1735,110359.747471
1736,106576.690321
1737,361990.292084
1738,193672.612118
1739,252360.738612
1740,191876.833965
1741,162534.380194
1742,162259.943526
1743,169536.246924
1744,293596.883035
1745,224236.056026
1746,227599.197112
1747,201373.05602
1748,182432.19246
1749,141016.37241
1750,120051.126945
1751,204441.249933
1752,109738.54389
1753,162922.976174
1754,202262.643969
1755,161362.448733
1756,110041.833299
1757,109858.96296
1758,125255.331963
1759,170997.81397
1760,142136.609777
1761,120711.59622
1762,152368.649541
1763,177310.733187
1764,115828.215545
1765,175491.518485
1766,166967.373375
